price,likes,tips,photos,ratingSignals,rating,Restaurant_Class
1,4.0,1,5,13.0,5.1,1
1,9.0,1,19,9.0,7.8,1
1,9.0,2,1,13.0,6.8,1
3,10.0,1,5,14.0,7.0,1
2,11.0,0,3,16.0,7.1,1
1,11.0,0,20,12.0,7.9,1
1,2.0,0,3,2.0,6.5,1
1,3.0,0,6,3.0,8.0,1
1,4.0,0,34,5.0,8.1,1
2,8.0,1,11,12.0,6.9,1
1,6.0,2,25,8.0,7.6,1
3,10.0,3,7,11.0,8.1,1
1,26.0,6,9,42.0,6.5,1
1,9.0,1,3,12.0,7.4,1
1,2.0,1,9,4.0,7.1,1
1,6.0,0,3,8.0,6.9,1
1,6.0,1,3,7.0,7.5,1
2,41.0,7,10,53.0,8.1,1
1,1.0,0,1,1.0,8.1,1
2,17.0,4,4,25.0,8.3,1
1,12.0,4,31,14.0,8.0,1
1,27.0,4,22,34.0,8.1,1
2,13.0,7,32,20.0,6.7,1
2,29.0,18,37,40.0,7.5,1
1,16.0,9,4,19.0,7.7,1
2,10.0,0,7,17.0,5.9,1
2,9.0,2,0,13.0,7.9,1
1,285.0,25,274,333.0,8.8,1
1,163.0,21,69,191.0,8.6,1
2,18.0,14,29,27.0,6.9,1
2,15.0,3,4,18.0,7.7,1
2,37.0,16,18,53.0,7.1,1
1,53.0,7,19,68.0,8.3,1
2,8.0,0,0,9.0,8.1,1
2,7.0,3,12,12.0,6.3,1
1,3.0,1,4,3.0,7.7,1
1,9.0,0,0,12.0,6.7,1
1,73.0,10,63,94.0,8.0,1
2,58.0,4,10,71.0,8.3,1
1,9.0,1,3,11.0,7.8,1
1,10.0,1,2,12.0,7.1,1
1,50.0,6,29,71.0,7.4,1
1,69.0,6,32,77.0,8.8,1
1,22.0,1,11,26.0,8.1,1
1,6.0,4,6,8.0,7.2,1
1,58.0,6,5,69.0,8.4,1
2,120.0,46,27,187.0,6.6,1
1,1.0,0,1,1.0,7.2,1
1,39.0,8,208,42.0,9.1,1
1,144.0,45,44,174.0,8.9,1
2,51.0,12,41,65.0,8.1,1
1,24.0,8,9,30.0,7.8,1
1,11.0,1,2,11.0,8.2,1
1,46.0,2,14,55.0,8.2,1
1,17.0,2,2,21.0,7.8,1
1,12.0,3,18,13.0,7.9,1
1,11.0,0,4,14.0,7.2,1
1,4.0,1,4,8.0,6.5,1
2,5.0,1,9,8.0,6.9,1
1,27.0,4,68,36.0,6.9,1
1,36.0,9,35,54.0,6.2,1
1,10.0,5,1,11.0,7.5,1
1,41.0,5,46,56.0,7.4,1
1,15.0,2,26,16.0,7.9,1
1,23.0,0,13,29.0,8.0,1
1,6.0,1,23,16.0,5.5,1
1,2.0,0,0,4.0,7.5,1
1,5.0,0,3,10.0,5.6,1
1,207.0,17,221,246.0,8.9,1
1,33.0,13,73,41.0,8.8,1
1,38.0,0,7,48.0,7.9,1
1,15.0,2,2,18.0,7.6,1
1,16.0,0,4,20.0,7.1,1
1,13.0,2,1,14.0,8.2,1
1,31.0,14,149,36.0,8.3,1
1,8.0,1,1,8.0,7.7,1
1,13.0,2,1,18.0,7.5,1
2,25.0,3,6,39.0,6.6,1
1,38.0,2,3,62.0,6.4,1
1,4.0,0,6,5.0,6.9,1
2,8.0,2,7,10.0,7.6,1
2,9.0,0,5,14.0,6.6,1
1,15.0,2,5,17.0,8.1,1
1,101.0,18,53,123.0,8.4,1
1,20.0,0,6,25.0,7.7,1
1,49.0,6,24,66.0,7.6,1
1,17.0,3,14,19.0,8.2,1
1,41.0,9,7,53.0,7.5,1
1,5.0,2,10,9.0,6.2,1
1,11.0,0,6,14.0,7.0,1
1,34.0,6,17,44.0,7.7,1
1,20.0,5,13,25.0,7.8,1
1,20.0,5,12,33.0,6.1,1
2,32.0,13,26,40.0,7.3,1
1,33.0,9,228,43.0,8.0,1
1,89.0,17,37,109.0,8.5,1
1,20.0,3,9,22.0,8.6,1
1,5.0,2,8,9.0,6.2,1
1,0.0,0,0,2.0,6.3,1
2,42.0,17,49,59.0,7.3,1
1,96.0,20,42,113.0,8.6,1
3,30.0,11,59,42.0,7.0,1
2,16.0,4,10,24.0,6.2,1
2,21.0,2,7,39.0,5.5,1
1,60.0,16,348,71.0,8.7,1
2,17.0,3,5,22.0,7.7,1
1,25.0,12,158,30.0,8.4,1
1,7.0,1,35,10.0,6.4,1
1,6.0,3,179,9.0,6.8,1
2,12.0,1,8,15.0,7.1,1
1,7.0,6,9,11.0,6.1,1
4,13.0,2,2,18.0,6.5,1
1,50.0,5,69,59.0,8.4,1
1,116.0,49,784,144.0,8.4,1
1,112.0,24,254,131.0,8.7,1
1,17.0,7,99,24.0,7.6,1
1,39.0,5,35,49.0,7.8,1
1,13.0,2,6,19.0,7.0,1
1,18.0,0,4,21.0,8.1,1
2,80.0,9,23,119.0,6.8,1
1,19.0,4,21,20.0,8.5,1
1,9.0,2,1,13.0,6.5,1
1,0.0,0,1,1.0,7.1,1
1,31.0,2,10,50.0,6.6,1
2,28.0,4,62,35.0,8.2,1
2,32.0,6,5,38.0,8.6,1
2,25.0,6,6,36.0,7.2,1
1,14.0,2,4,14.0,8.6,1
1,26.0,8,8,33.0,7.7,1
2,8.0,6,22,12.0,6.7,1
3,7.0,4,5,9.0,7.3,1
1,1.0,1,1,2.0,7.5,1
1,25.0,9,236,30.0,8.6,1
1,23.0,2,46,34.0,7.1,1
1,6.0,1,2,8.0,7.2,1
1,14.0,0,8,20.0,7.0,1
1,82.0,13,37,94.0,8.8,1
2,40.0,7,15,52.0,7.8,1
1,5.0,2,1,9.0,6.5,1
1,89.0,24,25,117.0,8.2,1
2,73.0,12,61,86.0,8.7,1
1,22.0,4,5,33.0,7.3,1
2,23.0,2,10,33.0,7.1,1
1,99.0,17,94,131.0,7.8,1
1,73.0,15,77,105.0,7.4,1
1,28.0,4,5,37.0,7.7,1
1,8.0,10,13,11.0,7.4,1
1,21.0,1,4,27.0,7.4,1
2,26.0,2,3,39.0,6.8,1
1,1.0,5,4,8.0,5.3,1
1,19.0,5,13,27.0,7.7,1
2,15.0,3,11,30.0,5.9,1
1,19.0,6,44,27.0,7.7,1
1,5.0,2,6,8.0,6.6,1
1,29.0,6,18,43.0,6.7,1
1,42.0,31,57,63.0,7.4,1
1,34.0,3,9,44.0,7.7,1
1,13.0,7,11,19.0,6.8,1
1,5.0,0,3,9.0,6.0,1
2,15.0,3,9,18.0,8.2,1
1,9.0,4,7,12.0,6.9,1
1,1.0,1,1,1.0,6.6,1
1,95.0,14,78,141.0,7.5,1
1,32.0,6,8,36.0,8.7,1
2,13.0,3,8,14.0,8.4,1
1,16.0,8,37,22.0,7.6,1
1,8.0,2,5,9.0,7.8,1
2,11.0,1,4,13.0,8.1,1
1,11.0,2,12,15.0,6.9,1
1,9.0,0,3,11.0,7.1,1
1,19.0,3,6,20.0,8.7,1
1,12.0,1,8,14.0,7.9,1
1,11.0,0,11,19.0,6.7,1
1,13.0,0,32,14.0,8.1,1
1,25.0,3,330,34.0,7.6,1
1,113.0,9,270,135.0,8.6,1
1,33.0,11,43,38.0,8.8,1
1,122.0,16,103,165.0,7.9,1
1,79.0,12,325,92.0,8.9,1
1,43.0,4,146,45.0,9.2,1
